InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,InvoiceDateParsed,TransactionDate,Year,Month,Revenue,IsReturn
536472,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-01-19 09:45:00,5.69,15260,Netherlands,2011-01-19 09:45:00,2011-01-19,2011,2011-01,68.28,False
536472,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-01-04 14:54:00,2.86,16852,Germany,2011-01-04 14:54:00,2011-01-04,2011,2011-01,5.72,False
536473,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-01-29 10:12:00,8.68,15395,Belgium,2011-01-29 10:12:00,2011-01-29,2011,2011-01,8.68,False
536473,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-01-10 08:04:00,2.49,17637,Netherlands,2011-01-10 08:04:00,2011-01-10,2011,2011-01,59.760000000000005,False
536473,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-01-07 10:59:00,2.07,18280,Netherlands,2011-01-07 10:59:00,2011-01-07,2011,2011-01,8.28,False
536474,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-01-24 12:17:00,6.82,13563,United Kingdom,2011-01-24 12:17:00,2011-01-24,2011,2011-01,13.64,False
536474,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-03-03 08:05:00,6.08,13470,Netherlands,2011-03-03 08:05:00,2011-03-03,2011,2011-03,36.480000000000004,False
536474,22632,HAND WARMER RED POLKA DOT,24,2011-03-11 08:24:00,5.75,15287,Netherlands,2011-03-11 08:24:00,2011-03-11,2011,2011-03,138.0,False
536475,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-02-04 10:01:00,5.76,14140,United Kingdom,2011-02-04 10:01:00,2011-02-04,2011,2011-02,23.04,False
536475,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-03-09 13:49:00,4.48,14252,Germany,2011-03-09 13:49:00,2011-03-09,2011,2011-03,17.92,False
536475,84029E,RED WOOLLY HOTTIE WHITE HEART,24,2011-01-08 11:36:00,2.71,15527,France,2011-01-08 11:36:00,2011-01-08,2011,2011-01,65.03999999999999,False
536476,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-02-10 13:58:00,4.65,18108,Belgium,2011-02-10 13:58:00,2011-02-10,2011,2011-02,27.900000000000002,False
536476,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-03-05 16:19:00,3.15,12656,United Kingdom,2011-03-05 16:19:00,2011-03-05,2011,2011-03,6.3,False
536476,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-02-12 17:12:00,6.45,15137,Belgium,2011-02-12 17:12:00,2011-02-12,2011,2011-02,6.45,False
536477,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-03-17 10:49:00,4.21,16657,France,2011-03-17 10:49:00,2011-03-17,2011,2011-03,12.629999999999999,False
536477,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-02-08 13:08:00,2.85,15924,Belgium,2011-02-08 13:08:00,2011-02-08,2011,2011-02,8.55,False
536477,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-03-30 17:50:00,3.86,17798,Spain,2011-03-30 17:50:00,2011-03-30,2011,2011-03,23.16,False
536478,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-01-01 17:25:00,5.33,16994,United Kingdom,2011-01-01 17:25:00,2011-01-01,2011,2011-01,63.96,False
536478,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-01-14 15:09:00,3.37,12983,Germany,2011-01-14 15:09:00,2011-01-14,2011,2011-01,20.22,False
536478,71053,WHITE METAL LANTERN,12,2011-03-23 13:28:00,2.86,14063,Belgium,2011-03-23 13:28:00,2011-03-23,2011,2011-03,34.32,False
536479,71053,WHITE METAL LANTERN,1,2011-02-19 15:46:00,4.99,13708,Netherlands,2011-02-19 15:46:00,2011-02-19,2011,2011-02,4.99,False
536479,22632,HAND WARMER RED POLKA DOT,24,2011-03-03 17:41:00,4.99,14193,Germany,2011-03-03 17:41:00,2011-03-03,2011,2011-03,119.76,False
536479,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-02-03 09:04:00,3.49,15421,Germany,2011-02-03 09:04:00,2011-02-03,2011,2011-02,10.47,False
536480,71053,WHITE METAL LANTERN,6,2011-03-03 08:27:00,3.56,13697,Spain,2011-03-03 08:27:00,2011-03-03,2011,2011-03,21.36,False
536480,71053,WHITE METAL LANTERN,2,2011-02-22 16:46:00,4.96,16770,France,2011-02-22 16:46:00,2011-02-22,2011,2011-02,9.92,False
536480,71053,WHITE METAL LANTERN,-2,2011-03-04 10:03:00,1.6,15848,United Kingdom,2011-03-04 10:03:00,2011-03-04,2011,2011-03,-3.2,True
536481,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-01-04 11:10:00,1.69,13017,Netherlands,2011-01-04 11:10:00,2011-01-04,2011,2011-01,1.69,False
536481,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-02-03 09:41:00,3.06,13860,France,2011-02-03 09:41:00,2011-02-03,2011,2011-02,36.72,False
536481,22633,HAND WARMER UNION JACK,-1,2011-03-01 12:14:00,4.07,16968,United Kingdom,2011-03-01 12:14:00,2011-03-01,2011,2011-03,-4.07,True
536482,71053,WHITE METAL LANTERN,3,2011-03-11 14:48:00,5.12,16881,United Kingdom,2011-03-11 14:48:00,2011-03-11,2011,2011-03,15.36,False
536482,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-03-02 17:56:00,7.45,14794,United Kingdom,2011-03-02 17:56:00,2011-03-02,2011,2011-03,89.4,False
536482,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-03-15 18:39:00,6.22,16024,Germany,2011-03-15 18:39:00,2011-03-15,2011,2011-03,37.32,False
536483,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-01-06 14:05:00,4.18,15912,Germany,2011-01-06 14:05:00,2011-01-06,2011,2011-01,8.36,False
536483,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-01-09 09:24:00,4.46,16868,France,2011-01-09 09:24:00,2011-01-09,2011,2011-01,53.519999999999996,False
536483,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-03-17 16:50:00,2.49,15741,Germany,2011-03-17 16:50:00,2011-03-17,2011,2011-03,14.940000000000001,False
536484,71053,WHITE METAL LANTERN,6,2011-01-13 12:55:00,4.46,15162,Netherlands,2011-01-13 12:55:00,2011-01-13,2011,2011-01,26.759999999999998,False
536484,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-01-23 12:25:00,3.92,17332,Belgium,2011-01-23 12:25:00,2011-01-23,2011,2011-01,3.92,False
536484,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-03-02 12:57:00,5.15,15113,France,2011-03-02 12:57:00,2011-03-02,2011,2011-03,5.15,False
536485,71053,WHITE METAL LANTERN,2,2011-01-18 12:47:00,2.85,14974,France,2011-01-18 12:47:00,2011-01-18,2011,2011-01,5.7,False
536485,71053,WHITE METAL LANTERN,2,2011-02-22 15:48:00,5.54,15409,United Kingdom,2011-02-22 15:48:00,2011-02-22,2011,2011-02,11.08,False
536485,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-01-18 16:56:00,7.57,13769,Germany,2011-01-18 16:56:00,2011-01-18,2011,2011-01,30.28,False
536486,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-01-07 13:45:00,4.28,15363,Netherlands,2011-01-07 13:45:00,2011-01-07,2011,2011-01,17.12,False
536486,71053,WHITE METAL LANTERN,2,2011-02-17 15:38:00,5.3,16233,Spain,2011-02-17 15:38:00,2011-02-17,2011,2011-02,10.6,False
536486,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-01-12 12:01:00,5.88,13680,Spain,2011-01-12 12:01:00,2011-01-12,2011,2011-01,70.56,False
536487,84029G,UNKNOWN_ITEM,12,2011-01-27 12:41:00,3.7,12510,Belgium,2011-01-27 12:41:00,2011-01-27,2011,2011-01,44.400000000000006,False
536487,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-01-29 12:38:00,4.95,14848,Belgium,2011-01-29 12:38:00,2011-01-29,2011,2011-01,4.95,False
536487,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24,2011-02-14 15:16:00,4.53,14821,Belgium,2011-02-14 15:16:00,2011-02-14,2011,2011-02,108.72,False
536488,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2011-03-26 13:35:00,4.7,17335,France,2011-03-26 13:35:00,2011-03-26,2011,2011-03,28.200000000000003,False
536488,71053,WHITE METAL LANTERN,3,2011-03-23 13:55:00,2.95,17720,Belgium,2011-03-23 13:55:00,2011-03-23,2011,2011-03,8.850000000000001,False
536488,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-01-31 08:51:00,4.55,17261,Netherlands,2011-01-31 08:51:00,2011-01-31,2011,2011-01,109.19999999999999,False
536489,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-02-03 14:25:00,5.5,12635,Spain,2011-02-03 14:25:00,2011-02-03,2011,2011-02,16.5,False
536489,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-01-29 18:34:00,7.4,16243,Belgium,2011-01-29 18:34:00,2011-01-29,2011,2011-01,88.80000000000001,False
536489,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-01-24 12:06:00,6.42,14464,Belgium,2011-01-24 12:06:00,2011-01-24,2011,2011-01,38.519999999999996,False
536490,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-03-25 09:14:00,8.81,14861,Netherlands,2011-03-25 09:14:00,2011-03-25,2011,2011-03,26.43,False
536490,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-01-16 15:03:00,2.97,17126,Spain,2011-01-16 15:03:00,2011-01-16,2011,2011-01,11.88,False
536490,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-03-29 14:33:00,6.24,12788,Germany,2011-03-29 14:33:00,2011-03-29,2011,2011-03,149.76,False
536491,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-01-19 13:55:00,4.87,13008,Netherlands,2011-01-19 13:55:00,2011-01-19,2011,2011-01,19.48,False
536491,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-02-27 12:13:00,8.88,13727,Spain,2011-02-27 12:13:00,2011-02-27,2011,2011-02,8.88,False
536491,71053,UNKNOWN_ITEM,4,2011-03-23 14:25:00,2.88,16256,Netherlands,2011-03-23 14:25:00,2011-03-23,2011,2011-03,11.52,False
536492,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-03-09 11:01:00,2.82,17479,Belgium,2011-03-09 11:01:00,2011-03-09,2011,2011-03,8.459999999999999,False
536492,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-02-19 16:37:00,3.3,12880,United Kingdom,2011-02-19 16:37:00,2011-02-19,2011,2011-02,3.3,False
536492,22632,HAND WARMER RED POLKA DOT,3,2011-02-25 18:08:00,0.5,16361,France,2011-02-25 18:08:00,2011-02-25,2011,2011-02,1.5,False
536493,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-01-17 11:46:00,3.45,16479,United Kingdom,2011-01-17 11:46:00,2011-01-17,2011,2011-01,13.8,False
536493,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-02-02 16:39:00,2.98,12738,Belgium,2011-02-02 16:39:00,2011-02-02,2011,2011-02,35.76,False
536493,71053,WHITE METAL LANTERN,4,2011-01-16 16:16:00,4.8,13600,Germany,2011-01-16 16:16:00,2011-01-16,2011,2011-01,19.2,False
536494,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-03-26 16:17:00,5.18,18086,Germany,2011-03-26 16:17:00,2011-03-26,2011,2011-03,5.18,False
536494,22632,HAND WARMER RED POLKA DOT,1,2011-02-06 09:50:00,8.25,13973,Spain,2011-02-06 09:50:00,2011-02-06,2011,2011-02,8.25,False
536494,22632,HAND WARMER RED POLKA DOT,3,2011-04-01 14:18:00,6.4,16836,Netherlands,2011-04-01 14:18:00,2011-04-01,2011,2011-04,19.200000000000003,False
536495,22633,HAND WARMER UNION JACK,1,2011-01-02 18:05:00,3.35,17049,Belgium,2011-01-02 18:05:00,2011-01-02,2011,2011-01,3.35,False
536495,22632,HAND WARMER RED POLKA DOT,2,2011-02-02 18:14:00,2.7,14771,France,2011-02-02 18:14:00,2011-02-02,2011,2011-02,5.4,False
536495,84406B,CREAM CUPID HEARTS COAT HANGER,24,2011-02-07 13:51:00,5.48,15835,Belgium,2011-02-07 13:51:00,2011-02-07,2011,2011-02,131.52,False
536496,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-26 18:10:00,1.86,15931,Spain,2011-03-26 18:10:00,2011-03-26,2011,2011-03,5.58,False
536496,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-01-15 14:25:00,8.16,14572,Netherlands,2011-01-15 14:25:00,2011-01-15,2011,2011-01,16.32,False
536496,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24,2011-01-22 09:08:00,6.86,12826,Germany,2011-01-22 09:08:00,2011-01-22,2011,2011-01,164.64000000000001,False
536497,22633,UNKNOWN_ITEM,12,2011-02-26 10:39:00,3.56,15283,Spain,2011-02-26 10:39:00,2011-02-26,2011,2011-02,42.72,False
536497,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-01-15 14:28:00,1.07,GUEST,United Kingdom,2011-01-15 14:28:00,2011-01-15,2011,2011-01,4.28,False
536497,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2011-03-27 13:33:00,7.21,18085,Spain,2011-03-27 13:33:00,2011-03-27,2011,2011-03,14.42,False
536498,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-03-28 18:24:00,4.27,16919,Spain,2011-03-28 18:24:00,2011-03-28,2011,2011-03,51.239999999999995,False
536498,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-03-05 10:04:00,6.98,14972,Germany,2011-03-05 10:04:00,2011-03-05,2011,2011-03,27.92,False
536498,22632,HAND WARMER RED POLKA DOT,12,2011-02-18 14:52:00,1.31,16106,Netherlands,2011-02-18 14:52:00,2011-02-18,2011,2011-02,15.72,False
536499,71053,WHITE METAL LANTERN,6,2011-03-23 12:56:00,4.51,14040,Belgium,2011-03-23 12:56:00,2011-03-23,2011,2011-03,27.06,False
536499,22752,SET 7 BABUSHKA NESTING BOXES,24,2011-01-29 15:21:00,4.59,17423,Spain,2011-01-29 15:21:00,2011-01-29,2011,2011-01,110.16,False
536500,22633,HAND WARMER UNION JACK,24,2011-03-26 11:00:00,3.6,17536,France,2011-03-26 11:00:00,2011-03-26,2011,2011-03,86.4,False
536500,71053,WHITE METAL LANTERN,3,2011-03-05 10:52:00,5.75,18257,Netherlands,2011-03-05 10:52:00,2011-03-05,2011,2011-03,17.25,False
536500,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-02-20 11:29:00,2.36,13907,Belgium,2011-02-20 11:29:00,2011-02-20,2011,2011-02,56.64,False
536501,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2011-03-28 17:07:00,4.22,16036,Netherlands,2011-03-28 17:07:00,2011-03-28,2011,2011-03,101.28,False
536501,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-03-09 08:35:00,4.74,17139,Netherlands,2011-03-09 08:35:00,2011-03-09,2011,2011-03,4.74,False
536501,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-01-17 09:24:00,5.53,17311,France,2011-01-17 09:24:00,2011-01-17,2011,2011-01,11.06,False
536502,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-02-01 12:25:00,5.92,14755,Netherlands,2011-02-01 12:25:00,2011-02-01,2011,2011-02,142.07999999999998,False
536502,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-03-07 12:53:00,2.25,14917,Belgium,2011-03-07 12:53:00,2011-03-07,2011,2011-03,27.0,False
536502,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-02-07 18:22:00,1.43,13432,Belgium,2011-02-07 18:22:00,2011-02-07,2011,2011-02,8.58,False
536503,22632,HAND WARMER RED POLKA DOT,12,2011-02-11 09:48:00,7.06,16281,Spain,2011-02-11 09:48:00,2011-02-11,2011,2011-02,84.72,False
536503,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24,2011-03-10 12:56:00,5.16,12450,Spain,2011-03-10 12:56:00,2011-03-10,2011,2011-03,123.84,False
536503,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-02-04 10:18:00,3.0,13545,United Kingdom,2011-02-04 10:18:00,2011-02-04,2011,2011-02,6.0,False
536504,22632,HAND WARMER RED POLKA DOT,-1,2011-01-14 17:55:00,7.6,16948,Germany,2011-01-14 17:55:00,2011-01-14,2011,2011-01,-7.6,True
536504,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-03-31 12:44:00,4.73,15471,Netherlands,2011-03-31 12:44:00,2011-03-31,2011,2011-03,113.52000000000001,False
536504,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-01-02 12:12:00,6.86,15975,Germany,2011-01-02 12:12:00,2011-01-02,2011,2011-01,6.86,False
536505,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-03-19 11:49:00,4.64,13931,France,2011-03-19 11:49:00,2011-03-19,2011,2011-03,27.839999999999996,False
536505,71053,WHITE METAL LANTERN,2,2011-03-07 09:24:00,8.62,GUEST,Germany,2011-03-07 09:24:00,2011-03-07,2011,2011-03,17.24,False
536505,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-01-20 08:09:00,8.01,17235,United Kingdom,2011-01-20 08:09:00,2011-01-20,2011,2011-01,96.12,False
536506,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-03-12 13:04:00,4.0,14949,Spain,2011-03-12 13:04:00,2011-03-12,2011,2011-03,24.0,False
536506,71053,WHITE METAL LANTERN,2,2011-02-23 16:34:00,6.44,15208,Germany,2011-02-23 16:34:00,2011-02-23,2011,2011-02,12.88,False
536506,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-03-21 16:30:00,5.79,17665,United Kingdom,2011-03-21 16:30:00,2011-03-21,2011,2011-03,11.58,False
536507,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2011-03-21 11:02:00,7.24,14975,Netherlands,2011-03-21 11:02:00,2011-03-21,2011,2011-03,43.44,False
536507,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-02-06 08:58:00,2.57,15417,Spain,2011-02-06 08:58:00,2011-02-06,2011,2011-02,30.839999999999996,False
536507,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-01-25 13:32:00,5.87,13132,Germany,2011-01-25 13:32:00,2011-01-25,2011,2011-01,70.44,False
536508,22632,HAND WARMER RED POLKA DOT,2,2011-01-27 18:40:00,6.62,17960,Netherlands,2011-01-27 18:40:00,2011-01-27,2011,2011-01,13.24,False
536508,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-03-29 10:01:00,0.98,15063,United Kingdom,2011-03-29 10:01:00,2011-03-29,2011,2011-03,0.98,False
536509,71053,WHITE METAL LANTERN,12,2011-03-21 09:48:00,0.5,12718,Belgium,2011-03-21 09:48:00,2011-03-21,2011,2011-03,6.0,False
536509,22632,HAND WARMER RED POLKA DOT,24,2011-03-29 12:38:00,3.96,15931,Netherlands,2011-03-29 12:38:00,2011-03-29,2011,2011-03,95.03999999999999,False
536509,22633,HAND WARMER UNION JACK,2,2011-01-18 14:50:00,5.94,16816,France,2011-01-18 14:50:00,2011-01-18,2011,2011-01,11.88,False
536510,22752,SET 7 BABUSHKA NESTING BOXES,1,2011-03-12 16:09:00,7.5,12387,Spain,2011-03-12 16:09:00,2011-03-12,2011,2011-03,7.5,False
536510,71053,WHITE METAL LANTERN,12,2011-02-14 11:26:00,4.65,16544,Germany,2011-02-14 11:26:00,2011-02-14,2011,2011-02,55.800000000000004,False
536510,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-03-27 17:54:00,7.76,GUEST,Belgium,2011-03-27 17:54:00,2011-03-27,2011,2011-03,15.52,False
536511,71053,WHITE METAL LANTERN,2,2011-03-16 15:21:00,1.74,17845,Belgium,2011-03-16 15:21:00,2011-03-16,2011,2011-03,3.48,False
536511,71053,WHITE METAL LANTERN,3,2011-03-04 15:21:00,1.09,14850,Belgium,2011-03-04 15:21:00,2011-03-04,2011,2011-03,3.2700000000000005,False
536511,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-01-22 08:20:00,4.39,14160,Belgium,2011-01-22 08:20:00,2011-01-22,2011,2011-01,17.56,False
536512,22752,SET 7 BABUSHKA NESTING BOXES,12,2011-02-12 15:29:00,5.27,14848,Netherlands,2011-02-12 15:29:00,2011-02-12,2011,2011-02,63.239999999999995,False
536512,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2011-01-18 16:12:00,4.43,17479,United Kingdom,2011-01-18 16:12:00,2011-01-18,2011,2011-01,13.29,False
536512,22632,HAND WARMER RED POLKA DOT,24,2011-03-16 17:25:00,0.5,14088,United Kingdom,2011-03-16 17:25:00,2011-03-16,2011,2011-03,12.0,False
536513,22632,HAND WARMER RED POLKA DOT,24,2011-01-20 13:25:00,4.32,17176,Belgium,2011-01-20 13:25:00,2011-01-20,2011,2011-01,103.68,False
536513,22632,HAND WARMER RED POLKA DOT,4,2011-02-16 16:00:00,1.89,17376,Belgium,2011-02-16 16:00:00,2011-02-16,2011,2011-02,7.56,False
536513,22633,HAND WARMER UNION JACK,6,2011-03-14 18:55:00,5.84,16306,France,2011-03-14 18:55:00,2011-03-14,2011,2011-03,35.04,False
536514,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-01-30 08:42:00,5.23,15305,Netherlands,2011-01-30 08:42:00,2011-01-30,2011,2011-01,62.760000000000005,False
536514,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-01-14 16:40:00,2.62,14503,Spain,2011-01-14 16:40:00,2011-01-14,2011,2011-01,31.44,False
536514,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-01-10 16:16:00,3.47,14171,Spain,2011-01-10 16:16:00,2011-01-10,2011,2011-01,41.64,False
536515,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-03-19 08:32:00,2.38,15949,Germany,2011-03-19 08:32:00,2011-03-19,2011,2011-03,9.52,False
536515,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2011-01-21 13:38:00,4.37,13315,Belgium,2011-01-21 13:38:00,2011-01-21,2011,2011-01,8.74,False
536515,71053,WHITE METAL LANTERN,4,2011-03-03 11:37:00,6.41,15712,United Kingdom,2011-03-03 11:37:00,2011-03-03,2011,2011-03,25.64,False
536516,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2011-03-07 08:57:00,2.53,12804,Germany,2011-03-07 08:57:00,2011-03-07,2011,2011-03,30.36,False
536516,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-03-23 08:56:00,5.51,17767,France,2011-03-23 08:56:00,2011-03-23,2011,2011-03,33.06,False
536516,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-03-03 10:14:00,3.44,17268,Germany,2011-03-03 10:14:00,2011-03-03,2011,2011-03,82.56,False
536517,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-02-03 10:46:00,2.91,16060,Spain,2011-02-03 10:46:00,2011-02-03,2011,2011-02,17.46,False
536517,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-01-26 16:55:00,4.29,17952,Netherlands,2011-01-26 16:55:00,2011-01-26,2011,2011-01,4.29,False
536517,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-03-18 08:56:00,2.43,16469,United Kingdom,2011-03-18 08:56:00,2011-03-18,2011,2011-03,14.580000000000002,False
536518,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-03-28 18:27:00,3.39,15380,United Kingdom,2011-03-28 18:27:00,2011-03-28,2011,2011-03,3.39,False
536518,22633,HAND WARMER UNION JACK,4,2011-02-14 17:51:00,2.1,18053,Spain,2011-02-14 17:51:00,2011-02-14,2011,2011-02,8.4,False
536518,22633,HAND WARMER UNION JACK,24,2011-01-11 12:38:00,8.43,15693,France,2011-01-11 12:38:00,2011-01-11,2011,2011-01,202.32,False
536519,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2011-03-08 08:24:00,4.57,17980,France,2011-03-08 08:24:00,2011-03-08,2011,2011-03,4.57,False
536519,21730,GLASS STAR FROSTED T-LIGHT HOLDER,3,2011-02-03 16:27:00,3.1,17358,France,2011-02-03 16:27:00,2011-02-03,2011,2011-02,9.3,False
536519,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,24,2011-03-13 15:11:00,4.93,16891,Netherlands,2011-03-13 15:11:00,2011-03-13,2011,2011-03,118.32,False
536520,22752,SET 7 BABUSHKA NESTING BOXES,4,2011-01-18 18:07:00,4.28,16004,Belgium,2011-01-18 18:07:00,2011-01-18,2011,2011-01,17.12,False
536520,22632,HAND WARMER RED POLKA DOT,3,2011-03-12 17:44:00,4.06,12772,Germany,2011-03-12 17:44:00,2011-03-12,2011,2011-03,12.18,False
536520,71053,WHITE METAL LANTERN,4,2011-03-18 14:05:00,5.73,14162,France,2011-03-18 14:05:00,2011-03-18,2011,2011-03,22.92,False
536521,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-03-20 18:33:00,6.02,17240,United Kingdom,2011-03-20 18:33:00,2011-03-20,2011,2011-03,24.08,False
536521,22633,HAND WARMER UNION JACK,2,2011-03-26 16:18:00,3.44,17257,Spain,2011-03-26 16:18:00,2011-03-26,2011,2011-03,6.88,False
536521,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-01-31 18:00:00,3.35,13057,France,2011-01-31 18:00:00,2011-01-31,2011,2011-01,10.05,False
536522,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-03-08 08:47:00,3.95,13084,Spain,2011-03-08 08:47:00,2011-03-08,2011,2011-03,7.9,False
536522,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-02-05 11:38:00,0.5,16071,Netherlands,2011-02-05 11:38:00,2011-02-05,2011,2011-02,12.0,False
536522,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-01-10 16:18:00,1.47,13304,Spain,2011-01-10 16:18:00,2011-01-10,2011,2011-01,8.82,False
536523,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2011-02-18 17:30:00,7.23,15128,Netherlands,2011-02-18 17:30:00,2011-02-18,2011,2011-02,28.92,False
536523,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-01-09 14:40:00,7.79,14151,Belgium,2011-01-09 14:40:00,2011-01-09,2011,2011-01,23.37,False
536523,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-03-10 08:44:00,4.0,14379,France,2011-03-10 08:44:00,2011-03-10,2011,2011-03,24.0,False
536524,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-03-02 13:22:00,5.65,17045,France,2011-03-02 13:22:00,2011-03-02,2011,2011-03,16.950000000000003,False
536524,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-01-31 11:55:00,5.12,14223,Germany,2011-01-31 11:55:00,2011-01-31,2011,2011-01,10.24,False
536524,22752,UNKNOWN_ITEM,1,2011-01-16 09:43:00,10.66,16381,Spain,2011-01-16 09:43:00,2011-01-16,2011,2011-01,10.66,False
536525,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-21 13:31:00,6.74,17052,France,2011-03-21 13:31:00,2011-03-21,2011,2011-03,20.22,False
